rawName,type,offsetStart,offsetEnd,nerd_selection_score,wikipediaExternalRef,wikidataId
sentiments xénophobes,,158976,158997,0.7852,8734,Q166005
dane,,159092,159096,0.3832,19071,Q9035
Delsol,BUSINESS,159266,159272,0,,
Hervé,PERSON,159296,159301,0,,
Verdier,BUSINESS,159338,159345,0,,
Komintern,BUSINESS,159508,159517,0.898,60240,Q163931
Anglais,,159860,159867,0.4857,5539,Q1860
Gênes,LOCATION,159883,159888,0.8592,12419,Q1449
Turquie,LOCATION,159894,159901,0.8557,1574253,Q43
Bretagne,LOCATION,159955,159963,0.5701,3554082,Q327
Parus,,160279,160284,0.4734,1147321,Q719380
charbon,,160322,160329,0.4263,5329820,Q24489
affre,,160557,160562,0.4038,292681,Q737359
charbon,,160598,160605,0.4263,5329820,Q24489
électricité,,160630,160641,0.5301,3432,Q12725
André,BUSINESS,160807,160812,0,,
indulgence,,161008,161018,0.5247,21362,Q44777
Finlande,LOCATION,161181,161189,0.8083,1094,Q33
Finlande,LOCATION,161304,161312,0.8083,1094,Q33
Universitaire,PERSON,161547,161560,0.3671,37141,Q3918
avant-guerre,,162051,162063,0.3627,2757,Q362
Pétain,LOCATION,162220,162226,0.7473,2516,Q5721
Oui-Laqelle,LOCATION,162682,162695,0,,
renié,,163087,163092,0.6196,5611591,Q511777
français,,163299,163307,0.647,1095,Q142
Français,,163432,163440,0.6535,1095,Q142
hommes de lettres,,163455,163472,0.3799,1738,Q8242
cher,,163565,163569,0.488,548,Q3286
Tristan,PERSON,163570,163577,0,,
journaliste,,163608,163619,0.647,94882,Q1930187
moches,,164306,164312,0.7289,245100,Q208188
Gildas,BUSINESS,164533,164539,0,,
F.F.I,BUSINESS,164953,164958,0.4146,68552,Q186595
tour Eiffel,,165070,165081,0.9909,1359783,Q243
baïonnette,,165087,165097,0.6067,152535,Q173366
Gildas,BUSINESS,165208,165214,0,,
après guerre,,165338,165350,0.3672,531776,Q1201472
Jacqueline Bernard Diné,PERSON,165674,165697,0,,
Augé,BUSINESS,165703,165707,0,,
Juifs,,165722,165727,0.6291,2350680,Q7325
juifs,,165810,165815,0.6281,2350680,Q7325
juive,,165824,165829,0.4062,2350680,Q7325
Rossini,,165907,165914,0.6648,107250,Q9726
testament politique,,166268,166287,0.5066,4036767,Q700285
Rossini,,166289,166296,0.6648,107250,Q9726
Debu-Bridel,,166601,166612,0.8073,1049167,Q3158657
SOIR,BUSINESS,166622,166626,0,,
français,,166691,166699,0.647,1095,Q142
Angleterre,LOCATION,166728,166738,0.7745,4925,Q21
Angleterre,LOCATION,166829,166839,0.7745,4925,Q21
France,LOCATION,166887,166893,0.7527,1095,Q142
France,LOCATION,166996,167002,0.7527,1095,Q142
Daladier,BUSINESS,167119,167127,0.7419,53355,Q213526
Dumont,BUSINESS,167536,167542,0,,
Tristan,PERSON,167558,167565,0,,
Dumont,BUSINESS,167722,167728,0,,
dane,,167962,167966,0.3832,19071,Q9035
Talbert,PERSON,168083,168090,0,,
Dumont,BUSINESS,168226,168232,0,,
Yves Bayet Boucher,PERSON,168487,168505,0,,
Dumont,BUSINESS,168527,168533,0,,
Bastille,LOCATION,168662,168670,0.4912,76907,Q1865480
révolution française,,168829,168849,0.9475,6742,Q6534
Bastille,LOCATION,168867,168875,0.4912,76907,Q1865480
CJF,ORGANISATION,168931,168934,0,,
communisme,,169116,169126,0.6194,5349064,Q6186
méthode espagnole,,169245,169262,0.4652,4551370,Q1342434
Madagascar,LOCATION,170217,170227,0.8788,8645,Q1019
Pétain,LOCATION,170248,170254,0.7473,2516,Q5721
anglais,,170276,170283,0.503,5539,Q1860
anglais,,170582,170589,0.503,5539,Q1860
Roland Pré,PERSON,170591,170601,0,,
Oronte,,170624,170630,0.8052,67676,Q188871
aimable,,170649,170656,0.3589,568521,Q2827988
Bastier,BUSINESS,170741,170748,0,,
Georges,PERSON,170966,170973,0,,
juive,,170989,170994,0.4062,2350680,Q7325
juifs,,171063,171068,0.6281,2350680,Q7325
journalisme,,171112,171123,0.5654,104291,Q11030
juive,,171254,171259,0.4062,2350680,Q7325
juifs,,171282,171287,0.6281,2350680,Q7325
équipe d'Israël,,171508,171523,0.9853,223823,Q191406
juive,,171600,171605,0.4062,2350680,Q7325
Crouzet,BUSINESS,171682,171689,0,,
Tristan,PERSON,171729,171736,0,,
René,LOCATION,171779,171783,0,,
après guerre,,171990,172002,0.3672,531776,Q1201472
Brulé,PERSON,172116,172121,0,,
Comité de Liber,ORGANISATION,172163,172178,0,,
F.N,BUSINESS,172268,172271,0,,
Sauvion,BUSINESS,172447,172454,0,,
anti-communistes,,172497,172513,0.6062,387403,Q182121
courent,,172595,172602,0.6887,9480613,Q3696212
Fabry,BUSINESS,172643,172648,0,,
Madrid,LOCATION,172671,172677,0.8223,2010,Q2807
Don Juan,PERSON,172700,172708,0.8874,259439,Q210372
psychanalyse,,172713,172725,0.701,42242,Q41630
Don Juan,,172773,172781,0.8648,259439,Q210372
complexe d'infériorité,,172865,172887,0.9051,525363,Q319763
